,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
60,NA,No,No,Casual,Casual,Yes,Vietnamese; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,B,NA,NA,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Pho Bang Restaurant,Little Italy,4.0,487,10013,157 Mott St
61,NA,Yes,Beer & Wine Only,NA,NA,NA,Asian Fusion; Vegan; Gluten-Free; ,No,No,NA,NA,NA,NA,NA,No,Yes,Yes,NA,No,NA,Yes,Yes,NA,No,NA,Yes,No,No,Yes,Free,NA,noodlelove,"Nolita, Little Italy",4.0,25,10012,192 Mott St
62,NA,Yes,No,Casual,Casual,Yes,Chinese; Thai; Asian Fusion; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,B,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,$11-30,XO Taste,"Chinatown, Little Italy",3.0,180,10013,41 Elizabeth St
63,NA,Yes,NA,NA,NA,NA,Food Delivery Services; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,Galley,NA,NA,NA,NA,NA
64,No,Yes,No,Casual,Casual,No,Chinese; Kosher; Vegan; ,Yes,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,Yes,NA,NA,Yes,C,Yes,Yes,Average,No,Street,Yes,No,Yes,Yes,No,$11-30,Buddha Bodai Kosher Vegetarian Restaurant,"Chinatown, Civic Center",4.0,882,10013,5 Mott St
65,NA,Yes,Beer & Wine Only,Casual,Casual,No,Asian Fusion; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,Yes,Yes,Average,No,"Garage, Street",Yes,Yes,NA,NA,No,$11-30,LuAnne’s Wild Ginger All-Asian Vegan,"Little Italy, Nolita",4.0,615,10013,380 Broome St
66,NA,Yes,No,Casual,Casual,No,Chinese; Noodles; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,Yes,Yes,Yes,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,Under $10,Noodle Village,"Chinatown, Civic Center",4.0,877,10013,13 Mott St
67,NA,Yes,No,Casual,Casual,Yes,Malaysian; Singaporean; ,Yes,Yes,NA,Yes,"Breakfast, Lunch, Dessert",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,No,No,No,Under $10,Kopitiam,"Lower East Side, Chinatown",4.0,378,10002,151 E Broadway
68,NA,Yes,NA,NA,Casual,NA,Japanese; Sushi Bars; ,NA,No,NA,NA,NA,Yes,No,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,No,Yes,NA,NA,Free,$11-30,Tetsu,"TriBeCa, Civic Center",3.5,64,10013,78 Leonard St
69,NA,Yes,Beer & Wine Only,Casual,Casual,No,Ramen; Sushi Bars; Noodles; ,Yes,No,No,NA,"Lunch, Dinner",Yes,Yes,NA,Yes,NA,NA,No,A,Yes,Yes,Average,No,Street,Yes,Yes,NA,NA,No,$11-30,Ajisen Ramen,"Chinatown, Civic Center",3.5,332,10013,14 Mott St
70,NA,Yes,NA,NA,NA,NA,Vietnamese; Sandwiches; Noodles; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,Vietspot Tribeca,TriBeCa,NA,NA,10013,200 Church St
71,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; ,Yes,Yes,No,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Thanh Hoai 1,Chinatown,3.5,145,10013,73 Mulberry St
72,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,Yes,NA,NA,Free,Under $10,Nha Trang One,Chinatown,3.5,703,10013,87 Baxter St
73,NA,No,No,Casual,Casual,Yes,Chinese; Noodles; ,No,Yes,NA,Yes,"Lunch, Dinner",No,Yes,NA,NA,NA,NA,Yes,B,NA,Yes,Average,No,Street,Yes,No,Yes,NA,No,Under $10,Tasty Hand-Pulled Noodles,"Chinatown, Civic Center",4.0,1451,10013,1 Doyers St
74,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Vietnamese; ,No,Yes,NA,Yes,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,No,Yes,NA,Free,Under $10,Pho Vietnam,Lower East Side,4.0,401,10002,87 Chrystie St
75,NA,Yes,No,Casual,NA,Yes,American (New); Salad; Sandwiches; ,No,Yes,No,NA,Lunch,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Average,No,NA,Yes,No,No,Yes,No,$11-30,Sticky’s Finger Joint,Financial District,4.0,115,10038,21 Maiden Ln
76,NA,Yes,Beer & Wine Only,Casual,Casual,No,Vietnamese; ,No,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,Yes,A,Yes,NA,Average,No,Street,Yes,No,Yes,Yes,No,Under $10,Tu Do Restaurant,"Chinatown, Lower East Side",4.0,288,10013,102 Bowery St
77,NA,NA,NA,NA,NA,NA,Salad; Juice Bars & Smoothies; Falafel; ,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,Taim Fidi,Financial District,4.0,20,10038,75 Maiden Ln
78,NA,Yes,Beer & Wine Only,Casual,Casual,Yes,Japanese; Sushi Bars; Salad; ,Yes,Yes,NA,Yes,"Dinner, Dessert",Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Quiet,No,Street,Yes,Yes,Yes,No,Free,$11-30,Amano Sushi,"Chinatown, Lower East Side",4.0,37,10002,50 Eldridge St
79,NA,Yes,NA,NA,NA,NA,Food Delivery Services; ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,Moderate,Epicured,"Chelsea, Midtown West, Hell's Kitchen",4.0,18,10001,NA
