,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
134,Galata Mediterranean Cuisine,212 E 34th St,10016,271,4.5,"Murray Hill, Kips Bay, Midtown East",A,$11-30,Yes,Yes,Yes,Yes,Yes,No,"Garage, Street, Validated",Yes,Yes,Yes,Yes,Casual,Average,Full Bar,NA,No,Free,Yes,No,Yes,Yes,Turkish; Mediterranean; Halal; ,NA,NA,Yes,NA,"Lunch, Dinner, Dessert","Casual, Classy",Yes
135,Scarpetta,88 Madison Ave,10016,1737,4.0,"Flatiron, Midtown East",C,$31-60,Yes,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Dressy,Average,Full Bar,NA,Yes,Free,No,NA,NA,No,Italian; ,NA,NA,Yes,NA,Dinner,Classy,Yes
136,Giorgio’s of Gramercy,27 E 21st St,10010,703,4.0,Flatiron,A,$31-60,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,Yes,Yes,Italian; American (New); ,NA,NA,NA,NA,Dinner,Intimate,Yes
137,L’Express,249 Park Ave S,10003,753,3.5,"Flatiron, Gramercy",A,$11-30,Yes,Yes,NA,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,Yes,No,Yes,NA,NA,No,French; Bars; ,NA,NA,NA,NA,Late Night,Casual,NA
138,Lamarcapasta,161 E 22nd St,10010,275,4.0,Gramercy,NA,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,NA,Average,Beer & Wine Only,NA,No,No,No,NA,Yes,Yes,Italian; Pasta Shops; Sandwiches; ,NA,NA,NA,NA,Lunch,Casual,Yes
139,Rolf’s Bar & Restaurant,281 3rd Ave,10010,713,2.5,Gramercy,A,$11-30,NA,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Very Loud,Full Bar,Yes,No,No,No,NA,NA,No,German; Bars; ,NA,NA,NA,NA,Dinner,Touristy,NA
140,Irvington,201 Park Ave S,10003,180,3.5,"Union Square, Gramercy, Flatiron",A,$31-60,NA,Yes,No,Yes,Yes,No,Street,No,Yes,No,Yes,Casual,Average,Full Bar,Yes,No,Free,No,No,Yes,No,American (New); Cocktail Bars; ,NA,NA,NA,NA,Dinner,"Trendy, Classy",NA
141,ABC Cocina,38 E 19th St,10003,814,4.0,Flatiron,A,$31-60,Yes,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,No,Yes,No,No,NA,Yes,No,Tapas/Small Plates; Cocktail Bars; Spanish; ,NA,NA,Yes,NA,Dinner,Trendy,NA
142,Big Daddy’s,239 Park Ave S,10003,858,3.5,"Flatiron, Gramercy",B,$11-30,Yes,Yes,Yes,Yes,Yes,No,"Garage, Street",Yes,Yes,Yes,Yes,NA,Average,Full Bar,Yes,No,Free,Yes,No,Yes,Yes,American (Traditional); Diners; Breakfast & Brunch; ,NA,NA,NA,NA,"Breakfast, Brunch, Lunch",Casual,Yes
143,Cosme,35 E 21st St,10010,782,3.5,Flatiron,A,$31-60,Yes,Yes,No,No,Yes,No,Street,No,Yes,No,Yes,Dressy,Average,Full Bar,No,No,Free,No,No,Yes,No,Mexican; Desserts; Cocktail Bars; ,NA,NA,Yes,NA,Dinner,Trendy,NA
144,Paul & Jimmy’s,123 E 18th St,10003,89,3.5,"Gramercy, Flatiron",A,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,NA,Yes,Yes,Italian; ,NA,NA,NA,NA,Dinner,Romantic,NA
145,Bocca Restaurant & Bar,39 E 19th St,10003,329,3.5,Flatiron,A,$31-60,NA,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,NA,NA,No,Italian; Lounges; ,NA,NA,NA,NA,Dinner,NA,Yes
146,East Way Gourmet,169 3rd Ave,10003,5,4.0,Gramercy,NA,$11-30,NA,No,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,NA,NA,NA,Beer & Wine Only,NA,NA,NA,NA,No,NA,Yes,Sandwiches; Breakfast & Brunch; Delis; ,NA,NA,NA,NA,NA,NA,NA
147,Otto Enoteca Pizzeria,One Fifth Avenue At 8th St,10003,2034,3.5,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Loud,Full Bar,Yes,No,No,No,NA,Yes,No,Italian; Pizza; Bars; ,NA,NA,NA,NA,Dinner,Casual,NA
148,Amélie,22 W 8th St,10011,2256,4.5,Greenwich Village,A,$11-30,NA,Yes,No,Yes,Yes,No,Street,Yes,Yes,No,Yes,Casual,Average,Full Bar,Yes,No,No,No,No,Yes,No,French; Wine Bars; ,NA,NA,NA,NA,Dinner,Trendy,NA
149,Jane,100 W Houston St,10012,2969,4.0,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,No,No,No,No,Yes,Yes,Breakfast & Brunch; American (New); Bars; ,NA,NA,Yes,NA,Brunch,Casual,Yes
150,Bar Pitti,268 Ave Of The Americas,10014,927,3.5,Greenwich Village,A,$11-30,Yes,No,No,Yes,No,NA,Street,Yes,NA,No,Yes,Casual,Average,Beer & Wine Only,NA,Yes,No,No,NA,Yes,No,Italian; ,NA,NA,NA,NA,Dinner,Casual,NA
151,La Lanterna Di Vittorio,129 MacDougal St,10012,1359,4.0,Greenwich Village,A,$11-30,Yes,Yes,No,Yes,Yes,No,Street,Yes,No,No,Yes,Casual,Average,Full Bar,No,Yes,Free,No,No,Yes,No,Italian; Cafes; Ice Cream & Frozen Yogurt; ,NA,NA,Yes,NA,Dinner,"Intimate, Romantic",NA
152,Saigon Shack,114 Macdougal St,10012,2163,4.0,Greenwich Village,A,Under $10,Yes,No,No,Yes,No,NA,Street,Yes,NA,Yes,Yes,NA,Average,No,NA,No,No,No,NA,NA,No,Sandwiches; Coffee & Tea; Salad; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
153,by CHLOE. West Village,185 Bleecker St,10012,1538,4.0,Greenwich Village,A,$11-30,Yes,No,No,Yes,Yes,No,Street,Yes,Yes,Yes,No,Casual,Loud,Beer & Wine Only,NA,Yes,Free,No,Yes,No,No,Juice Bars & Smoothies; American (Traditional); Desserts; ,NA,NA,Yes,NA,"Brunch, Lunch","Casual, Trendy",Yes
154,Kubeh,464 Avenue Of The Americas,10011,145,4.0,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,No,No,No,Yes,Yes,Middle Eastern; Bars; Tapas/Small Plates; ,NA,NA,NA,NA,"Lunch, Dinner","Casual, Trendy",Yes
155,Vapiano NYC,113 University Pl,10003,1089,3.5,"Union Square, Greenwich Village",A,$11-30,Yes,Yes,Yes,Yes,Yes,No,Street,Yes,Yes,Yes,Yes,Casual,Average,Full Bar,Yes,Yes,Free,Yes,No,No,Yes,Italian; Pasta Shops; Pizza; ,Yes,Yes,Yes,Yes,"Lunch, Dinner","Casual, Trendy",Yes
156,Ai Fiori,400 5th AveSte 2,10018,1136,4.0,Midtown West,A,Above $61,Yes,Yes,No,No,Yes,NA,Street,Yes,NA,No,Yes,Dressy,Average,Full Bar,No,No,Free,No,NA,NA,No,Italian; French; Cocktail Bars; ,NA,NA,Yes,NA,Dinner,"Classy, Upscale",NA
157,Village Taverna,81 University Pl,10003,275,3.5,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,Street,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,No,NA,NA,No,Greek; Mediterranean; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,NA
158,Song E Napule,146 W Houston St,10012,345,4.5,Greenwich Village,A,$11-30,Yes,Yes,Yes,Yes,Yes,NA,"Garage, Street",Yes,Yes,Yes,No,Casual,Average,Beer & Wine Only,NA,Yes,Free,No,Yes,Yes,Yes,Pizza; Italian; ,NA,NA,NA,NA,"Lunch, Dinner",Casual,Yes
159,Palma,28 Cornelia St,10014,631,4.0,West Village,A,$31-60,Yes,Yes,No,Yes,Yes,No,"Garage, Street",No,NA,No,Yes,Casual,Average,Full Bar,NA,Yes,No,No,NA,Yes,Yes,Italian; ,NA,NA,NA,NA,Dinner,"Intimate, Romantic",Yes
