,restaurant_name,retaurant_address,restaurant_zipcode,restaurant_reviewcount,restaurant_rating,restaurant_neighobrhood,Hygiene_score,price_range,Liked by Vegetarians,Takes Reservations,Delivery,Take-out,Accepts Credit Cards,Accepts Bitcoin,Parking,Bike Parking,Wheelchair Accessible,Good for Kids,Good for Groups,Attire,Noise Level,Alcohol,Happy Hour,Outdoor Seating,Wi-Fi,Has TV,Dogs Allowed,Waiter Service,Caters,Category,Has Soy-free Options,Has Dairy-free Options,Liked by Vegans,Has Gluten-free Options,Good For,Ambience,Gender Neutral Restrooms
17,Chili’s,5001 S Mill St,74361,14,3.0,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,No,No,Yes,NA,NA,Yes,Tex-Mex; American (Traditional); Bars; ,NA,NA,NA,NA,NA,NA,NA
18,Bricktown Brewery,11909 East 96th St,74055,109,4.0,Midtown,NA,$11-30,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,Full Bar,NA,Yes,Free,Yes,NA,Yes,No,Breweries; American (Traditional); ,NA,NA,NA,NA,"Lunch, Dinner, Dessert",Casual,NA
19,El Royal Restaurant & Club,Old Hwy 20 E,74361,4,3.5,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,Private Lot,Yes,NA,Yes,No,Casual,Loud,Full Bar,NA,No,No,Yes,NA,Yes,No,American (New); Mexican; ,NA,NA,NA,NA,NA,NA,NA
20,Cotton Patch Cafe,820 S Lynn Riggs Blvd,74017,19,3.5,Carbondale,NA,$11-30,Yes,No,No,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,No,Yes,NA,NA,NA,Southern; American (Traditional); Comfort Food; ,NA,NA,NA,NA,NA,NA,NA
21,Dot’s Cafe,310 W Will Rogers Blvd,74017,10,4.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,NA,Yes,NA,Yes,No,Casual,Average,No,NA,No,No,Yes,NA,NA,No,Breakfast & Brunch; Burgers; American (Traditional); ,NA,NA,NA,NA,Breakfast,Divey,NA
22,Hugo’s Family Restaurant,1217 Archer Dr,74017,56,4.0,East Tulsa,NA,Under $10,NA,No,No,Yes,No,NA,Private Lot,Yes,NA,Yes,Yes,Casual,Average,No,NA,No,No,No,NA,NA,No,Breakfast & Brunch; ,NA,NA,NA,NA,"Breakfast, Brunch, Lunch",Casual,NA
23,Boomarang Diner,302 W Will Rogers Blvd,74017,17,3.0,NA,NA,Under $10,NA,No,No,Yes,Yes,NA,Street,Yes,NA,Yes,No,NA,Average,No,NA,No,NA,No,NA,Yes,NA,Diners; American (Traditional); ,NA,NA,NA,NA,NA,NA,NA
24,Denny’s,385 Mid America Dr,74361,15,2.5,NA,NA,$11-30,NA,No,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,NA,Average,No,NA,No,Free,No,NA,Yes,NA,Breakfast & Brunch; American (Traditional); Diners; ,NA,NA,NA,NA,NA,NA,NA
25,RibCrib,1736 S Lynn Riggs Blvd,74019,29,3.5,Garnett,NA,$11-30,NA,Yes,No,Yes,Yes,NA,NA,No,NA,Yes,Yes,Casual,Average,Beer & Wine Only,NA,No,No,No,NA,NA,Yes,American (Traditional); Barbeque; ,NA,NA,NA,NA,Lunch,Casual,NA
26,Dog Iron Saloon: Will Rogers Downs,E 485th Rd,74019,3,3.0,NA,NA,Under $10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Casual,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food; American (Traditional); Country Dance Halls; ,NA,NA,NA,NA,NA,NA,NA
