,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighborhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address,Source
87,,Yes,Full Bar,Casual,Casual,Yes,Szechuan; Bars; ,No,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,Yes,,,,Yes,A,,Yes,Average,Yes,Street,Yes,,Yes,,No,$11-30,Han Dynasty,East Village,4.0,1067.0,10003,90 3rd Ave,Chinese
88,No,Yes,No,,Casual,Yes,Chinese; Noodles; ,No,Yes,No,,,No,Yes,No,,,,No,A,,Yes,Average,No,Street,Yes,No,No,No,Free,$11-30,Dian Kitchen,"East Village, Alphabet City",4.5,83.0,10009,435 E 9th St,Chinese
89,,Yes,No,"Casual, Trendy",Casual,No,Chinese; ,No,Yes,No,Yes,Dinner,No,Yes,No,Yes,Yes,Yes,No,A,Yes,Yes,Average,Yes,Street,Yes,No,Yes,No,Free,$11-30,Clay Pot NYC,East Village,4.5,175.0,10003,58 St Mark's Pl,Chinese
90,No,Yes,,,,No,Tea Rooms; Dim Sum; ,,,No,,,,,,,,,,,,,,,Street,Yes,,,Yes,Free,,Uluh,East Village,5.0,11.0,10003,152 2nd AveSte A,Chinese
91,No,Yes,No,"Casual, Trendy",Casual,No,Chinese; Noodles; ,Yes,Yes,,Yes,,Yes,Yes,No,,Yes,,Yes,,Yes,Yes,Average,No,,Yes,Yes,No,Yes,Free,Under $10,Silky Kitchen,East Village,4.5,74.0,10003,137 E 13th St,Chinese
92,No,Yes,Beer & Wine Only,Casual,Casual,Yes,Chinese; Noodles; Burgers; ,No,No,No,,"Lunch, Dinner",No,No,,,,,No,A,,Yes,Average,No,Street,Yes,No,No,No,No,Under $10,Xi?an Famous Foods,East Village,4.0,1532.0,10003,81 St Marks Pl,Chinese
93,,Yes,No,Casual,,,Noodles; Chinese; ,,No,,,,Yes,Yes,No,,,,No,A,,Yes,,No,,Yes,Yes,Yes,Yes,No,$31-60,Hunan Slurp,East Village,4.5,120.0,10009,112 1st Ave,Chinese
94,,Yes,Beer & Wine Only,"Casual, Trendy",Casual,Yes,Chinese; ,Yes,Yes,,Yes,"Lunch, Dinner",Yes,Yes,,,,,No,A,,,Average,No,Street,Yes,Yes,Yes,Yes,No,$11-30,MáLà Project,East Village,4.0,473.0,10009,122 1st Ave,Chinese
95,No,Yes,No,Casual,Casual,Yes,Chinese; Barbeque; Noodles; ,No,Yes,No,,,Yes,Yes,,,,,Yes,A,Yes,Yes,,No,Street,Yes,Yes,Yes,Yes,Free,$11-30,Dun Huang,East Village,4.0,68.0,10003,300 E 12th St,Chinese
96,,Yes,No,,,Yes,Chinese; Kebab; Chicken Wings; ,No,No,,,,,,No,,,,No,,,,,No,Street,No,Yes,Yes,No,Free,,Gala BBQ,East Village,4.0,8.0,10003,92 3rd Ave,Chinese
