,Accepts Bitcoin,Accepts Credit Cards,Alcohol,Ambience,Attire,Bike Parking,Category,Caters,Delivery,Dogs Allowed,Gender Neutral Restrooms,Good For,Good for Groups,Good for Kids,Happy Hour,Has Dairy-free Options,Has Gluten-free Options,Has Soy-free Options,Has TV,Hygiene_score,Liked by Vegans,Liked by Vegetarians,Noise Level,Outdoor Seating,Parking,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,price_range,restaurant_name,restaurant_neighobrhood,restaurant_rating,restaurant_reviewcount,restaurant_zipcode,retaurant_address
1148,NA,Yes,NA,NA,NA,NA,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,No,NA,NA,Under $10,No.1 Chinese Restaurant,Washington Heights,2.5,11,10032,3853 Broadway
1149,NA,NA,No,NA,Casual,NA,Shanghainese; Noodles; Soup; ,NA,NA,No,NA,NA,Yes,Yes,No,NA,NA,NA,Yes,NA,NA,NA,Average,No,NA,Yes,No,Yes,NA,NA,NA,Dumpling Den,NA,4.0,54,07024,249 Main St
1150,NA,No,No,NA,Casual,No,Chinese; ,No,No,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,NA,Yes,No,Yes,NA,No,Under $10,Eastern Style Chinese,Concourse,4.0,6,10456,1233 Grant Ave
1151,NA,No,No,NA,Casual,No,Chinese; ,No,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,No,NA,Yes,No,NA,NA,No,Under $10,Good Taste Chinese Restaurant,Fordham,5.0,1,10458,209 E 183rd St
1152,NA,Yes,No,Casual,Casual,Yes,Kosher; Chinese; Sushi Bars; ,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,NA,NA,NA,Yes,A,NA,NA,Average,No,Street,Yes,No,NA,NA,No,$11-30,Chop Chop,Washington Heights,3.0,37,10033,501 W 184th St
1153,NA,Yes,No,Divey,Casual,Yes,Chinese; ,Yes,Yes,NA,NA,"Lunch, Dinner",Yes,Yes,NA,NA,NA,NA,No,A,NA,Yes,Average,No,Street,Yes,No,NA,NA,No,Under $10,U Like Chinese Take Out,"Inwood, Washington Heights",3.0,67,10034,4926 Broadway
1154,NA,Yes,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,A,NA,NA,NA,No,NA,Yes,No,NA,NA,NA,Under $10,China Sun,Washington Heights,3.5,20,10033,1270A Saint Nicholas Ave
1155,NA,No,No,NA,Casual,Yes,Chinese; ,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,No,A,NA,NA,Quiet,No,NA,Yes,No,No,NA,No,Under $10,New China Restaurant,Melrose,3.5,10,10455,3035 3rd Ave
1156,NA,Yes,Full Bar,Casual,Casual,Yes,Szechuan; ,Yes,Yes,No,Yes,"Lunch, Dinner",Yes,Yes,No,NA,NA,NA,Yes,A,NA,Yes,Average,No,Street,Yes,Yes,Yes,No,No,$11-30,Szechuan Garden,Manhattan Valley,4.0,219,10025,239 W 105th St
1157,NA,Yes,No,NA,Casual,NA,Chinese; ,NA,Yes,NA,NA,NA,No,Yes,NA,NA,NA,NA,No,A,NA,NA,NA,NA,NA,Yes,No,NA,NA,No,Under $10,Happy World Restaurant,Washington Heights,3.5,8,10033,1309 Saint Nicholas Ave
