,0
308,http://www.yelp.com/biz/xian-famous-foods-new-york-14?osq=Chinese+restaurants
309,http://www.yelp.com/biz/la-vie-en-szechuan-new-york-2?osq=Chinese+restaurants
310,http://www.yelp.com/biz/spades-new-york?osq=Chinese+restaurants
311,http://www.yelp.com/biz/asura-asian-bistro-new-york-4?osq=Chinese+restaurants
312,http://www.yelp.com/biz/chop-shop-ii-new-york-2?osq=Chinese+restaurants
313,http://www.yelp.com/biz/lan-sheng-restaurant-new-york?osq=Chinese+restaurants
314,http://www.yelp.com/biz/jian-bing-man-new-york?osq=Chinese+restaurants
315,http://www.yelp.com/biz/spice-symphony-new-york?osq=Chinese+restaurants
316,http://www.yelp.com/biz/5th-avenue-empire-cafe-manhattan?osq=Chinese+restaurants
317,http://www.yelp.com/biz/abiko-curry-new-york-2?osq=Chinese+restaurants
318,http://www.yelp.com/biz/evergreen-on-38-new-york?osq=Chinese+restaurants
319,http://www.yelp.com/biz/hyo-dong-gak-new-york?osq=Chinese+restaurants
320,http://www.yelp.com/biz/taste-good-new-york?osq=Chinese+restaurants
321,http://www.yelp.com/biz/main-noodle-house-new-york?osq=Chinese+restaurants
322,http://www.yelp.com/biz/hortus-nyc-new-york?osq=Chinese+restaurants
323,http://www.yelp.com/biz/atoboy-new-york?osq=Chinese+restaurants
324,http://www.yelp.com/biz/hong-kong-chinese-restaurant-new-york-2?osq=Chinese+restaurants
325,http://www.yelp.com/biz/new-wonjo-restaurant-new-york?osq=Chinese+restaurants
326,http://www.yelp.com/biz/mr-bing-new-york-9?osq=Chinese+restaurants
327,http://www.yelp.com/biz/bonchon-nyc-5th-ave-new-york?osq=Chinese+restaurants
328,http://www.yelp.com/biz/ichiran-midtown-new-york?osq=Chinese+restaurants
